player_id,Rank,Name,Team,Position,Tier,Mason Dodd Rank,Expert Rank
12535,194,Isaac TeSlaa,DET,WR,K,194,204.38
12502,195,Gunnar Helm,TEN,TE,K,195,199.38
8172,196,Greg Dulcich,MIA,TE,K,196,207.5
6783,197,Jerry Jeudy,CLE,WR,K,197,199.88
11625,198,Adonai Mitchell,NYJ,WR,K,198,205.25
4981,199,Calvin Ridley,TEN,WR,K,199,194.57
9502,200,Tank Dell,HOU,WR,K,200,191.17
8111,201,Cade Otton,TB,TE,K,201,210.63
11610,202,Malik Washington,MIA,WR,K,202,184.71
7600,203,Pat Freiermuth,PIT,TE,K,203,206.88
3257,204,Jacoby Brissett,ARI,QB,K,204,200.13
13312,205,Eli Stowers,PHI,TE,K,205,216.43
13307,206,Zavion Thomas,CHI,WR,K,206,276.5
13275,207,Antonio Williams,WAS,WR,K,207,190.75
6768,208,Tua Tagovailoa,ATL,QB,K,208,231
4033,209,David Njoku,LAC,TE,K,209,198.38
9486,210,Dontayvion Wicks,PHI,WR,K,210,216.43
4993,211,Mike Gesicki,CIN,TE,K,211,230.38
7090,212,Darnell Mooney,NYG,WR,K,212,182
4039,213,Cooper Kupp,SEA,WR,K,213,232.86
13272,214,Elijah Sarratt,BAL,WR,K,214,212.5
11627,215,Troy Franklin,DEN,WR,K,215,208.86
2025008,216,Jaylin Noel,HOU,WR,K,216,220.43
3321,217,Tyreek Hill,,WR,K,217,246.83
6803,218,Brandon Aiyuk,SF,WR,K,218,238.4
13269,219,Chris Bell,MIA,WR,K,219,195
12467,220,Jordan James,SF,RB,K,220,217.86
12497,221,Tory Horton,SEA,WR,K,221,227
11637,222,Keon Coleman,BUF,WR,K,222,216.8
6865,223,Colby Parkinson,LAR,TE,K,223,238.33
7571,224,Rashod Bateman,BAL,WR,K,224,229.86
12524,225,Shedeur Sanders,CLE,QB,K,225,241.25
4950,226,Christian Kirk,SF,WR,K,226,221.2
9479,227,Darnell Washington,PIT,TE,K,227,246.25
8800,228,Malik Davis,DAL,RB,K,228,205.57
12048,229,George Holani,SEA,RB,K,229,232.5
11559,230,Michael Penix,ATL,QB,K,230,234.63
4066,231,Evan Engram,DEN,TE,K,231,234.38
11569,232,Jarquez Hunter,,RB,K,232,273.33
8188,233,Tyquan Thornton,KC,WR,K,233,226.71
1166,234,Kirk Cousins,LV,QB,K,234,238.75
11834,235,Devaughn Vele,NO,WR,K,235,223.33
13276,236,Skyler Bell,BUF,WR,K,236,227.57
8698,237,Jake Tonges,SF,TE,K,237,244.8
4137,238,James Conner,ARI,RB,K,238,221.38
11647,239,Kimani Vidal,LAC,RB,K,239,202.25
10226,240,Andrei Iosivas,CIN,WR,K,240,232.17
12483,241,Jack Bech,LV,WR,K,241,219.29
9482,242,Michael Mayer,LV,TE,K,242,255.29
12540,243,Chimere Dike,TEN,WR,K,243,220
12457,244,Jaydon Blue,PHI,RB,K,244,223.83
6149,245,Darius Slayton,NYG,WR,K,245,214.8
13235,246,Carson Beck,ARI,QB,K,246,247.83
11597,247,Theo Johnson,NYG,TE,K,247,249.33
13247,248,Demond Claiborne,MIN,RB,K,248,209
4017,249,Deshaun Watson,CLE,QB,K,249,241.25
7591,250,Justin Fields,KC,QB,K,250,262.33
11565,251,J.J. McCarthy,MIN,QB,K,251,258.5
7527,252,Mac Jones,SF,QB,K,252,259
9229,253,Anthony Richardson,IND,QB,K,253,253
2306,254,Jameis Winston,NYG,QB,K,254,303.33
5995,255,Justice Hill,BAL,RB,K,255,227.86
2307,256,Marcus Mariota,WAS,QB,K,256,305.33
11435,257,Emanuel Wilson,SEA,RB,K,257,232.17
4147,258,Samaje Perine,CIN,RB,K,258,220.17
11643,259,Jaylen Wright,MIA,RB,K,259,241.4
2025002,260,LeQuint Allen,JAX,RB,K,260,250.25
11370,261,Chris Brooks,GB,RB,K,-,168
13299,262,Caleb Douglas,MIA,WR,K,-,175.5
13378,263,Cyrus Allen,KC,WR,K,-,191.29
6130,264,Devin Singletary,NYG,RB,K,-,197.5
12455,265,Brashard Smith,KC,RB,K,-,212.67
12499,266,Elic Ayomanor,TEN,WR,K,-,214
12495,267,Ollie Gordon II,MIA,RB,K,-,215.5
8125,268,Calvin Austin,NYG,WR,K,-,216.5
11650,269,Luke McCaffrey,WAS,WR,K,-,218
8127,270,Charlie Kolar,LAC,TE,K,-,222
12485,271,Tez Johnson,TB,WR,K,-,222.33
13370,272,Seth McGowan,IND,RB,K,-,223
